dataset,metric,base,value,abs_uplift,rel_uplift_%
Beauty,ndcg@5,0.010609346441924572,0.012171566486358643,0.0015622200444340706,14.724941380561408
Beauty,ndcg@10,0.012986433692276478,0.015560385771095753,0.002573952078819275,19.82031510583311
Beauty,ndcg@20,0.016627442091703415,0.019527344033122063,0.0028999019414186478,17.440457320044494
Beauty,recall@5,0.015833482146263123,0.017790429294109344,0.001956947147846222,12.359550033080268
Beauty,recall@10,0.023305460810661316,0.02864259108901024,0.005337130278348923,22.900771290080645
Beauty,recall@20,0.03789361193776131,0.044298168271780014,0.006404556334018707,16.901414266177444
VK-small,ndcg@5,0.0020910222083330154,0.002956988289952278,0.0008659660816192627,41.41352866403174
VK-small,ndcg@10,0.0030717456247657537,0.0048170313239097595,0.0017452856991440058,56.817390251092114
VK-small,ndcg@20,0.0047349766828119755,0.006880233529955149,0.0021452568471431732,45.30659791695453
VK-small,recall@5,0.003996311221271753,0.005533353891223669,0.0015370426699519157,38.461535772551265
VK-small,recall@10,0.007070396561175585,0.011374115943908691,0.004303719382733107,60.86956149482984
VK-small,recall@20,0.013833384960889816,0.020288964733481407,0.006455579772591591,46.666667564323625
Yambda,ndcg@5,0.0015001371502876282,0.001655734027735889,0.00015559687744826078,10.372176798529885
Yambda,ndcg@10,0.002074257703498006,0.002026322763413191,-4.7934940084815025e-05,-2.310944296071701
Yambda,ndcg@20,0.0033154732082039118,0.0032399222254753113,-7.55509827286005e-05,-2.2787390512357257
Yambda,recall@5,0.0023310023825615644,0.0023310023825615644,0.0,0.0
Yambda,recall@10,0.005439005326479673,0.005439005326479673,0.0,0.0
Yambda,recall@20,0.009324009530246258,0.010101010091602802,0.0007770005613565445,8.333330836224736
