dataset,metric,base,value,abs_uplift,rel_uplift_%
Beauty,ndcg@5,0.03647131100296974,0.038005948066711426,0.001534637063741684,4.207792430649733
Beauty,ndcg@10,0.045918699353933334,0.04723745211958885,0.0013187527656555176,2.871929702300148
Beauty,ndcg@20,0.05618400126695633,0.05735528841614723,0.0011712871491909027,2.0847343065253976
Beauty,recall@5,0.0556546188890934,0.058086130768060684,0.002431511878967285,4.368930966561316
Beauty,recall@10,0.08521100133657455,0.08656184375286102,0.0013508424162864685,1.5852910951612718
Beauty,recall@20,0.12665477395057678,0.12681688368320465,0.00016210973262786865,0.1279933851456141
VK-small,ndcg@5,0.06727001070976257,0.06476245075464249,-0.0025075599551200867,-3.727604513010991
VK-small,ndcg@10,0.083591029047966,0.08036279678344727,-0.003228232264518738,-3.861936264316499
VK-small,ndcg@20,0.10137324780225754,0.09725460410118103,-0.004118643701076508,-4.06285069322282
VK-small,recall@5,0.10118307918310165,0.09728235006332397,-0.0039007291197776794,-3.855119997602456
VK-small,recall@10,0.1518067568540573,0.14824895560741425,-0.0035578012466430664,-2.3436382677376044
VK-small,recall@20,0.2225341796875,0.2149256318807602,-0.007608547806739807,-3.419046825716539
Yambda,ndcg@5,0.01421344093978405,0.013418970629572868,-0.0007944703102111816,-5.589570559141833
Yambda,ndcg@10,0.01778651773929596,0.01788095012307167,9.443238377571106e-05,0.530921145779314
Yambda,ndcg@20,0.022461799904704094,0.02175460383296013,-0.0007071960717439651,-3.148439015325124
Yambda,recall@5,0.02269435115158558,0.021567679941654205,-0.0011266712099313736,-4.964544711614973
Yambda,recall@10,0.0347658134996891,0.03428295627236366,-0.00048285722732543945,-1.3888851682695629
Yambda,recall@20,0.053436342626810074,0.05134395509958267,-0.0020923875272274017,-3.915663805512036
