dataset,metric,base,value,abs_uplift,rel_uplift_%
Beauty,ndcg@5,0.030411316081881523,0.03179898485541344,0.0013876687735319138,4.563001383418129
Beauty,ndcg@10,0.03838587924838066,0.03967784717679024,0.0012919679284095764,3.3657374891681795
Beauty,ndcg@20,0.04702705889940262,0.0482659786939621,0.0012389197945594788,2.634482835104997
Beauty,recall@5,0.04655010625720024,0.04869650676846504,0.002146400511264801,4.610946534483585
Beauty,recall@10,0.07163618505001068,0.07293296605348587,0.0012967810034751892,1.8102318019446177
Beauty,recall@20,0.10606805980205536,0.10709654539823532,0.0010284855961799622,0.9696468457133336
VK-small,ndcg@5,0.06436081975698471,0.06196170300245285,-0.0023991167545318604,-3.7276044083815414
VK-small,ndcg@10,0.07997601479291916,0.07688739150762558,-0.003088623285293579,-3.8619369735925337
VK-small,ndcg@20,0.0969991683959961,0.09307417273521423,-0.00392499566078186,-4.046421970091731
VK-small,recall@5,0.09680726379156113,0.0930752381682396,-0.003732025623321533,-3.85510908701756
VK-small,recall@10,0.1452416628599167,0.14187872409820557,-0.0033629387617111206,-2.3154091570506337
VK-small,recall@20,0.21295137703418732,0.20573338866233826,-0.00721798837184906,-3.389500679627106
Yambda,ndcg@5,0.01331344898790121,0.012569284997880459,-0.000744163990020752,-5.589565789428582
Yambda,ndcg@10,0.016672346740961075,0.016748731955885887,7.638521492481232e-05,0.4581551482320545
Yambda,ndcg@20,0.02108977921307087,0.020416704937815666,-0.0006730742752552032,-3.1914714158697794
Yambda,recall@5,0.021408110857009888,0.020202020183205605,-0.0012060906738042831,-5.633802449268241
Yambda,recall@10,0.03271521255373955,0.03211216628551483,-0.0006030462682247162,-1.8433206485641014
Yambda,recall@20,0.05020352825522423,0.04809286817908287,-0.0021106600761413574,-4.204206655379286
