dataset,variant,metric,baseline,value,abs_uplift,rel_uplift_%
Beauty,"tuned, 0.07",ndcg@5,0.03204496577382088,0.03647131100296974,0.004426345229148865,13.81291919732667
Beauty,"tuned, 0.07",ndcg@10,0.04061460122466087,0.045918699353933334,0.005304098129272461,13.059584408899363
Beauty,"tuned, 0.07",ndcg@20,0.04812716692686081,0.05618400126695633,0.00805683434009552,16.74072016817351
Beauty,"tuned, 0.07",recall@5,0.04857621341943741,0.0556546188890934,0.007078405469655991,14.571752245356407
Beauty,"tuned, 0.07",recall@10,0.07526881992816925,0.08521100133657455,0.009942181408405304,13.208897678870684
Beauty,"tuned, 0.07",recall@20,0.10623007267713547,0.12665477395057678,0.020424701273441315,19.22685427837182
Beauty,logQ,ndcg@5,0.03204496577382088,0.038005948066711426,0.005960982292890549,18.601930596413276
Beauty,logQ,ndcg@10,0.04061460122466087,0.04723745211958885,0.0066228508949279785,16.30657619483565
Beauty,logQ,ndcg@20,0.04812716692686081,0.05735528841614723,0.009228121489286423,19.17445401120424
Beauty,logQ,recall@5,0.04857621341943741,0.058086130768060684,0.009509917348623276,19.577313008135693
Beauty,logQ,recall@10,0.07526881992816925,0.08656184375286102,0.011293023824691772,15.00358825270406
Beauty,logQ,recall@20,0.10623007267713547,0.12681688368320465,0.020586811006069183,19.379456765165337
VK-small,"tuned, 0.07",ndcg@5,0.06504472345113754,0.06727001070976257,0.0022252872586250305,3.4211649163159192
VK-small,"tuned, 0.07",ndcg@10,0.08174464106559753,0.083591029047966,0.0018463879823684692,2.2587266373667236
VK-small,"tuned, 0.07",ndcg@20,0.099317766726017,0.10137324780225754,0.0020554810762405396,2.069600580036091
VK-small,"tuned, 0.07",recall@5,0.09837540984153748,0.10118307918310165,0.0028076693415641785,2.8540357250727144
VK-small,"tuned, 0.07",recall@10,0.1502850502729416,0.1518067568540573,0.0015217065811157227,1.012546875655337
VK-small,"tuned, 0.07",recall@20,0.22032663226127625,0.2225341796875,0.002207547426223755,1.0019430713241764
VK-small,logQ,ndcg@5,0.06504472345113754,0.06476245075464249,-0.00028227269649505615,-0.4339670945132131
VK-small,logQ,ndcg@10,0.08174464106559753,0.08036279678344727,-0.0013818442821502686,-1.6904402100700173
VK-small,logQ,ndcg@20,0.099317766726017,0.09725460410118103,-0.002063162624835968,-2.077334894699669
VK-small,logQ,recall@5,0.09837540984153748,0.09728235006332397,-0.001093059778213501,-1.1111107745057378
VK-small,logQ,recall@10,0.1502850502729416,0.14824895560741425,-0.0020360946655273438,-1.3548218281389077
VK-small,logQ,recall@20,0.22032663226127625,0.2149256318807602,-0.005401000380516052,-2.451360657167958
Yambda,"tuned, 0.07",ndcg@5,0.013351093046367168,0.01421344093978405,0.0008623478934168816,6.459005943723286
Yambda,"tuned, 0.07",ndcg@10,0.01702607050538063,0.01778651773929596,0.000760447233915329,4.4663695811374104
Yambda,"tuned, 0.07",ndcg@20,0.02179858088493347,0.022461799904704094,0.0006632190197706223,3.0424871383669725
Yambda,"tuned, 0.07",recall@5,0.02092386968433857,0.02269435115158558,0.0017704814672470093,8.461539351739548
Yambda,"tuned, 0.07",recall@10,0.033800095319747925,0.0347658134996891,0.0009657181799411774,2.8571463210547523
Yambda,"tuned, 0.07",recall@20,0.05311443656682968,0.053436342626810074,0.00032190605998039246,0.6060613286848362
Yambda,logQ,ndcg@5,0.013351093046367168,0.013418970629572868,6.787758320569992e-05,0.5084046899378729
Yambda,logQ,ndcg@10,0.01702607050538063,0.01788095012307167,0.00085487961769104,5.021003627471638
Yambda,logQ,ndcg@20,0.02179858088493347,0.02175460383296013,-4.3977051973342896e-05,-0.20174272905874585
Yambda,logQ,recall@5,0.02092386968433857,0.021567679941654205,0.0006438102573156357,3.0769177357165676
Yambda,logQ,recall@10,0.033800095319747925,0.03428295627236366,0.0004828609526157379,1.4285786712963005
Yambda,logQ,recall@20,0.05311443656682968,0.05134395509958267,-0.0017704814672470093,-3.3333338009137172
