dataset,variant,metric,baseline,value,abs_uplift,rel_uplift_%
Beauty,"tuned, 0.07",ndcg@5,0.026892703026533127,0.030411316081881523,0.0035186130553483963,13.083895106701732
Beauty,"tuned, 0.07",ndcg@10,0.0341164730489254,0.03838587924838066,0.004269406199455261,12.514207413329729
Beauty,"tuned, 0.07",ndcg@20,0.04034438729286194,0.04702705889940262,0.00668267160654068,16.56406765588192
Beauty,"tuned, 0.07",recall@5,0.04082636535167694,0.04655010625720024,0.0057237409055233,14.019717053475587
Beauty,"tuned, 0.07",recall@10,0.0633188784122467,0.07163618505001068,0.008317306637763977,13.135587436677179
Beauty,"tuned, 0.07",recall@20,0.08889684081077576,0.10606805980205536,0.017171218991279602,19.315893382341848
Beauty,logQ,ndcg@5,0.026892703026533127,0.03179898485541344,0.00490628182888031,18.243914804843637
Beauty,logQ,ndcg@10,0.0341164730489254,0.03967784717679024,0.005561374127864838,16.30114027288061
Beauty,logQ,ndcg@20,0.04034438729286194,0.0482659786939621,0.007921591401100159,19.634928010176306
Beauty,logQ,recall@5,0.04082636535167694,0.04869650676846504,0.007870141416788101,19.27710524558081
Beauty,logQ,recall@10,0.0633188784122467,0.07293296605348587,0.009614087641239166,15.18360381977277
Beauty,logQ,recall@20,0.08889684081077576,0.10709654539823532,0.018199704587459564,20.47283617895841
VK-small,"tuned, 0.07",ndcg@5,0.06223176792263985,0.06436081975698471,0.002129051834344864,3.421165596631423
VK-small,"tuned, 0.07",ndcg@10,0.07820947468280792,0.07997601479291916,0.0017665401101112366,2.258729031585682
VK-small,"tuned, 0.07",ndcg@20,0.09503347426652908,0.0969991683959961,0.0019656941294670105,2.0684228842923935
VK-small,"tuned, 0.07",recall@5,0.09412102401256561,0.09680726379156113,0.002686239778995514,2.854027362299934
VK-small,"tuned, 0.07",recall@10,0.143785759806633,0.1452416628599167,0.0014559030532836914,1.0125502381053795
VK-small,"tuned, 0.07",recall@20,0.2108187973499298,0.21295137703418732,0.0021325796842575073,1.0115699885706693
VK-small,logQ,ndcg@5,0.06223176792263985,0.06196170300245285,-0.00027006492018699646,-0.4339663313481845
VK-small,logQ,ndcg@10,0.07820947468280792,0.07688739150762558,-0.0013220831751823425,-1.6904386336109276
VK-small,logQ,ndcg@20,0.09503347426652908,0.09307417273521423,-0.00195930153131485,-2.0616962038237494
VK-small,logQ,recall@5,0.09412102401256561,0.0930752381682396,-0.0010457858443260193,-1.1111075929076184
VK-small,logQ,recall@10,0.143785759806633,0.14187872409820557,-0.0019070357084274292,-1.3263035998780843
VK-small,logQ,recall@20,0.2108187973499298,0.20573338866233826,-0.005085408687591553,-2.4122178626939434
Yambda,"tuned, 0.07",ndcg@5,0.01250570546835661,0.01331344898790121,0.0008077435195446014,6.4590000267353815
Yambda,"tuned, 0.07",ndcg@10,0.015947982668876648,0.016672346740961075,0.0007243640720844269,4.542042006968459
Yambda,"tuned, 0.07",ndcg@20,0.020418299362063408,0.02108977921307087,0.0006714798510074615,3.2886179162161326
Yambda,"tuned, 0.07",recall@5,0.01959897391498089,0.021408110857009888,0.0018091369420289993,9.230773763345578
Yambda,"tuned, 0.07",recall@10,0.03165988251566887,0.03271521255373955,0.0010553300380706787,3.333335294432577
Yambda,"tuned, 0.07",recall@20,0.049751244485378265,0.05020352825522423,0.0004522837698459625,0.9090903645212077
Yambda,logQ,ndcg@5,0.01250570546835661,0.012569284997880459,6.357952952384949e-05,0.5084041814732149
Yambda,logQ,ndcg@10,0.015947982668876648,0.016748731955885887,0.0008007492870092392,5.021006754490301
Yambda,logQ,ndcg@20,0.020418299362063408,0.020416704937815666,-1.5944242477416992e-06,-0.007808800426856764
Yambda,logQ,recall@5,0.01959897391498089,0.020202020183205605,0.0006030462682247162,3.076927755711563
Yambda,logQ,recall@10,0.03165988251566887,0.03211216628551483,0.0004522837698459625,1.4285705881003243
Yambda,logQ,recall@20,0.049751244485378265,0.04809286817908287,-0.001658376306295395,-3.3333363284666904
