dataset,variant,metric,baseline,value,abs_uplift,rel_uplift_%
Beauty,"tuned, 0.07",ndcg@5,0.012630484066903591,0.01390575710684061,0.0012752730399370193,10.09678673582031
Beauty,"tuned, 0.07",ndcg@10,0.014966478571295738,0.017331179231405258,0.00236470066010952,15.799980261521155
Beauty,"tuned, 0.07",ndcg@20,0.018083591014146805,0.02239559032022953,0.0043119993060827255,23.844817673157095
Beauty,"tuned, 0.07",recall@5,0.01788799650967121,0.020632177591323853,0.0027441810816526413,15.340907966797676
Beauty,"tuned, 0.07",recall@10,0.025409085676074028,0.03150726854801178,0.006098182871937752,24.000009089976768
Beauty,"tuned, 0.07",recall@20,0.03862180933356285,0.052037809044122696,0.013415999710559845,34.736849314051085
Beauty,logQ,ndcg@5,0.012630484066903591,0.015879176557064056,0.0032486924901604652,25.72104499678842
Beauty,logQ,ndcg@10,0.014966478571295738,0.0199273731559515,0.004960894584655762,33.14670555951805
Beauty,logQ,ndcg@20,0.018083591014146805,0.024530597031116486,0.006447006016969681,35.6511381612545
Beauty,logQ,recall@5,0.01788799650967121,0.022461632266640663,0.004573635756969452,25.5681834156033
Beauty,logQ,recall@10,0.025409085676074028,0.03608090430498123,0.010671818628907204,42.000010409489526
Beauty,logQ,recall@20,0.03862180933356285,0.056103263050317764,0.017481453716754913,45.26316611884702
VK-small,"tuned, 0.07",ndcg@5,0.003910467028617859,0.00386356795206666,-4.689907655119896e-05,-1.1993216208698037
VK-small,"tuned, 0.07",ndcg@10,0.006012817844748497,0.00579075375571847,-0.0002220640890300274,-3.6931783859704774
VK-small,"tuned, 0.07",ndcg@20,0.008408932015299797,0.008327207528054714,-8.172448724508286e-05,-0.9718771313216426
VK-small,"tuned, 0.07",recall@5,0.006744868122041225,0.006451612804085016,-0.0002932553179562092,-4.347828788496167
VK-small,"tuned, 0.07",recall@10,0.013049853034317493,0.01246334332972765,-0.0005865097045898438,-4.494377852742755
VK-small,"tuned, 0.07",recall@20,0.02316715568304062,0.022580645978450775,-0.0005865097045898438,-2.5316431270809594
VK-small,logQ,ndcg@5,0.003910467028617859,0.003923583310097456,1.3116281479597092e-05,0.33541470580389976
VK-small,logQ,ndcg@10,0.006012817844748497,0.005719069857150316,-0.00029374798759818077,-4.88536315555835
VK-small,logQ,ndcg@20,0.008408932015299797,0.00866654235869646,0.00025761034339666367,3.0635322408119063
VK-small,logQ,recall@5,0.006744868122041225,0.0065982406958937645,-0.00014662742614746094,-2.173910942280759
VK-small,logQ,recall@10,0.013049853034317493,0.01260997075587511,-0.0004398822784423828,-3.370783389557066
VK-small,logQ,recall@20,0.02316715568304062,0.025659823790192604,0.002492668107151985,10.759491330119253
Yambda,"tuned, 0.07",ndcg@5,0.0029613750521093607,0.002646666020154953,-0.0003147090319544077,-10.627125116430062
Yambda,"tuned, 0.07",ndcg@10,0.0034306589514017105,0.0036455874796956778,0.00021492852829396725,6.264934268856745
Yambda,"tuned, 0.07",ndcg@20,0.004800267051905394,0.005158422514796257,0.0003581554628908634,7.461157036017382
Yambda,"tuned, 0.07",recall@5,0.004430125001817942,0.004832863342016935,0.0004027383401989937,9.090902401935077
Yambda,"tuned, 0.07",recall@10,0.008457510732114315,0.008054772391915321,-0.0004027383401989937,-4.76190161568157
Yambda,"tuned, 0.07",recall@20,0.0140958521515131,0.0140958521515131,0.0,0.0
Yambda,logQ,ndcg@5,0.0029613750521093607,0.003392251208424568,0.0004308761563152075,14.549867839546305
Yambda,logQ,ndcg@10,0.0034306589514017105,0.004161709453910589,0.0007310505025088787,21.309331905760658
Yambda,logQ,ndcg@20,0.004800267051905394,0.005999659188091755,0.0011993921361863613,24.98594605711115
Yambda,logQ,recall@5,0.004430125001817942,0.005235602147877216,0.0008054771460592747,18.18181531511503
Yambda,logQ,recall@10,0.008457510732114315,0.007652034051716328,-0.0008054766803979874,-9.52380323136314
Yambda,logQ,recall@20,0.0140958521515131,0.016109544783830643,0.002013692632317543,14.285710510246705
